,Seed,n,Report Prop,Pref Dist Type,# Buckets,Pos/Neg Effect,Liquidity,# Rounds
0,2592,1000,1.00,correlated,1,+0 / -0,0.968,128
1,2592,1000,1.00,uniform,1,+869 / -86,0.985,45
2,2592,1000,0.95,correlated,1,+587 / -253,0.969,130
3,2592,1000,0.90,correlated,1,+612 / -278,0.967,132
4,2592,1000,0.85,correlated,1,+658 / -248,0.973,122
5,2592,1000,0.80,correlated,1,+653 / -253,0.972,130
6,2592,1000,0.75,correlated,1,+660 / -252,0.969,115
7,2592,1000,0.70,correlated,1,+691 / -242,0.972,126
8,2592,1000,0.65,correlated,1,+717 / -224,0.977,114
9,2592,1000,0.60,correlated,1,+713 / -226,0.978,111
10,2592,1000,0.55,correlated,1,+721 / -219,0.978,121
11,2592,1000,0.50,correlated,1,+733 / -213,0.981,118
12,2592,1000,0.45,correlated,1,+743 / -197,0.973,108
13,2592,1000,0.40,correlated,1,+766 / -176,0.977,110
14,2592,1000,0.35,correlated,1,+785 / -161,0.985,105
15,2592,1000,0.30,correlated,1,+784 / -166,0.983,98
16,2592,1000,0.25,correlated,1,+776 / -165,0.977,102
17,2592,1000,0.20,correlated,1,+795 / -143,0.979,101
18,2592,1000,0.15,correlated,1,+818 / -127,0.976,90
19,2592,1000,0.10,correlated,1,+845 / -103,0.974,94
20,2592,1000,0.05,correlated,1,+855 / -92,0.962,86
21,2592,1000,0.95,uniform,1,+868 / -69,0.99,46
22,2592,1000,0.90,uniform,1,+856 / -83,0.986,52
23,2592,1000,0.85,uniform,1,+858 / -88,0.991,55
24,2592,1000,0.80,uniform,1,+863 / -93,0.989,53
25,2592,1000,0.75,uniform,1,+869 / -83,0.989,46
26,2592,1000,0.70,uniform,1,+855 / -88,0.99,45
27,2592,1000,0.65,uniform,1,+857 / -90,0.989,46
28,2592,1000,0.60,uniform,1,+854 / -85,0.988,52
29,2592,1000,0.55,uniform,1,+878 / -70,0.99,46
30,2592,1000,0.50,uniform,1,+865 / -81,0.988,53
31,2592,1000,0.45,uniform,1,+864 / -78,0.99,48
32,2592,1000,0.40,uniform,1,+867 / -84,0.989,50
33,2592,1000,0.35,uniform,1,+863 / -83,0.987,55
34,2592,1000,0.30,uniform,1,+870 / -81,0.99,49
35,2592,1000,0.25,uniform,1,+860 / -92,0.989,51
36,2592,1000,0.20,uniform,1,+863 / -87,0.986,48
37,2592,1000,0.15,uniform,1,+880 / -85,0.988,52
38,2592,1000,0.10,uniform,1,+875 / -79,0.981,55
